graph,tpart,blocks,tstop,job,scale0,scale1,iter,concurrent,flips,updates,neighbor_updates,cut,ene,anneal,u,m,nodes,edges,BKS,Ratio,bits,GS,target,factor,TTT,BTT,GInd,Type
G027,3.0245198666839334e-08,8,0.0001,34820.5,3.0,0.8,19.5,0.0,5069183.3,1213848.4,64375.3,3297.425,-6636.85,0.000100006,0.0,0.0,2000.0,19990.0,3341.0,0.9869574977551631,6612619.8145717215,0.95,0.98,1.5372435736804821,0.00015372435736804823,,27,ER
G028,9.002034065447288e-08,4,0.0001,29340.5,3.0,0.8,19.5,0.0,10909076.15,886958.725,46668.5,3258.575,-6621.15,0.00010001700000000001,0.0,0.0,2000.0,19990.0,3298.0,0.9880457853244391,2221720.097324054,0.95,0.98,1.5372435736804821,0.00015372435736804823,,28,ER
G040,4.911145006735545e-09,4,0.0001,31380.5,3.0,0.8,19.5,0.0,11214771.7,7482604.4,837649.45,2365.65,-4829.3,0.000100004,0.0,0.0,2000.0,11766.0,2400.0,0.9856875,40723700.83263754,0.95,0.98,1.5372435736804821,0.00015372435736804823,,40,BA
G039,1.4617293520857793e-08,4,6e-05,11420.5,3.0,0.8,19.5,0.0,9594179.487179488,2448056.435897436,278163.28205128206,2368.7179487179487,-4709.4358974358975,6.00123e-05,0.0,0.0,2000.0,11778.0,2408.0,0.9836868557798791,8209454.08455874,0.825,0.98,2.642140726530581,0.00015852844359183485,,39,BA
G027,2.373522120906291e-09,8,8e-05,26900.5,3.0,0.8,19.5,0.0,1640780.1,3941989.05,207119.3,3290.925,-6623.85,8.00023e-05,0.0,0.0,2000.0,19990.0,3341.0,0.9850119724633343,67410368.15738906,0.9,0.98,2.0,0.00016,,27,ER
G040,1.4617293520857793e-08,4,4e-05,1860.5,3.0,0.8,19.5,0.0,6260386.875,1599092.05,180692.425,2355.1,-4808.2,4.00131e-05,0.0,0.0,2000.0,11766.0,2400.0,0.9812916666666667,5472969.3897058265,0.675,0.98,4.097381322650302,0.0001638952529060121,,40,BA
G029,3.0245198666839334e-08,8,6e-05,15700.5,3.0,0.8,19.5,0.0,3087197.575,745503.475,39470.475,3345.475,-6610.95,6.0015999999999996e-05,0.0,0.0,2000.0,19990.0,3405.0,0.9825183553597651,3967571.888743033,0.8,0.98,2.8613531161467853,0.00017168118696880713,,29,ER
G040,1.0161837155313268e-08,4,6e-05,11700.5,3.0,0.8,19.5,0.0,8733773.375,3140183.65,354531.575,2360.8,-4819.6,6.000829999999999e-05,0.0,0.0,2000.0,11766.0,2400.0,0.9836666666666666,11808888.310836216,0.8,0.98,2.8613531161467853,0.00017168118696880713,,40,BA
G028,1.650055480022138e-09,4,4e-05,3180.5,3.0,0.8,19.5,0.0,1088896.225,3471884.575,180978.025,3235.475,-6574.95,4.00009e-05,0.0,0.0,2000.0,19990.0,3298.0,0.9810415403274713,48483218.27271328,0.65,0.98,4.386619483931339,0.00017546477935725358,,28,ER
G027,1.650055480022138e-09,4,8e-05,22340.5,3.0,0.8,19.5,0.0,2162265.1052631577,6853824.868421053,358894.94736842107,3292.0,-6626.0,8.00002e-05,0.0,0.0,2000.0,19990.0,3341.0,0.9853337324154445,96966436.54542656,0.875,0.98,2.2146187299249083,0.00017716949839399269,,27,ER
G039,4.911145006735545e-09,4,8e-05,21740.5,3.0,0.8,19.5,0.0,9182572.625,6123445.35,687767.775,2371.5,-4715.0,8.00012e-05,0.0,0.0,2000.0,11778.0,2408.0,0.98484219269103,32578960.66611003,0.85,0.98,2.4274533095834263,0.00019419626476667413,,39,BA
G040,7.0644359863032585e-09,4,8e-05,21540.5,3.0,0.8,19.5,0.0,10491296.125,5183464.075,583733.725,2362.975,-4823.95,8.00067e-05,0.0,0.0,2000.0,11766.0,2400.0,0.9845729166666667,22648658.762031794,0.85,0.98,2.4274533095834263,0.00019419626476667413,,40,BA
G028,4.350620264355322e-08,8,8e-05,25020.5,3.0,0.8,19.5,0.0,4201653.75,700695.975,36900.3,3248.075,-6600.15,8.00259e-05,0.0,0.0,2000.0,19990.0,3298.0,0.9848620375985446,3677636.527161006,0.85,0.98,2.4274533095834263,0.00019419626476667413,,28,ER
G039,3.0245198666839334e-08,4,8e-05,20540.5,3.0,0.8,19.5,0.0,13876553.775,1710666.425,194926.925,2367.675,-4707.35,8.00112e-05,0.0,0.0,2000.0,11778.0,2408.0,0.9832537375415283,5290095.851657378,0.825,0.98,2.642140726530581,0.0002113712581224465,,39,BA
G041,7.0644359863032585e-09,4,6e-05,11980.5,3.0,0.8,19.5,0.0,7986786.225,3958783.575,445211.875,2360.525,-4738.05,6.00015e-05,0.0,0.0,2000.0,11785.0,2405.0,0.9815072765072765,16986494.071523845,0.725,0.98,3.567177857512734,0.00021403067145076406,,41,BA
G041,4.911145006735545e-09,4,6e-05,12220.5,3.0,0.8,19.5,0.0,6837595.820512821,4576950.384615385,511754.3333333333,2361.5384615384614,-4740.076923076923,6.00033e-05,0.0,0.0,2000.0,11785.0,2405.0,0.9819286742363666,24434220.49958252,0.725,0.98,3.567177857512734,0.00021403067145076406,,41,BA
G027,4.350620264355322e-08,8,0.0001,34580.5,3.0,0.8,19.5,0.0,5226684.65,865844.925,45902.65,3288.8,-6619.6,0.000100043,0.0,0.0,2000.0,19990.0,3341.0,0.984375935348698,4597045.658951256,0.875,0.98,2.2146187299249083,0.00022146187299249085,,27,ER
G041,1.0161837155313268e-08,4,8e-05,21340.5,3.0,0.8,19.5,0.0,11792273.225,4244379.15,479125.625,2368.0,-4753.0,8.00008e-05,0.0,0.0,2000.0,11785.0,2405.0,0.9846153846153847,15745184.414448291,0.8,0.98,2.8613531161467853,0.00022890824929174285,,41,BA
G040,2.102624423214588e-08,4,6e-05,11220.5,3.0,0.8,19.5,0.0,9843845.85,1751257.925,198550.8,2357.675,-4813.35,6.00043e-05,0.0,0.0,2000.0,11766.0,2400.0,0.9823645833333334,5707153.340135682,0.7,0.98,3.8249785787863972,0.00022949871472718384,,40,BA
G041,2.102624423214588e-08,4,4e-05,1660.5,3.0,0.8,19.5,0.0,6679060.875,1196138.625,135212.575,2356.975,-4730.95,4.00029e-05,0.0,0.0,2000.0,11785.0,2405.0,0.980031185031185,3804768.893423789,0.55,0.98,5.767220789231008,0.00023068883156924033,,41,BA
G029,1.650055480022138e-09,4,0.0001,32020.5,3.0,0.8,19.5,0.0,2699406.0,8571097.25,448396.1,3349.05,-6618.1,0.000100001,0.0,0.0,2000.0,19990.0,3405.0,0.983568281938326,121208045.6817832,0.85,0.98,2.4274533095834263,0.00024274533095834265,,29,ER
G039,1.0161837155313268e-08,8,0.0001,35660.5,3.0,0.8,19.5,0.0,7307621.564102564,2580008.1025641025,295278.7948717949,2369.641025641026,-4711.282051282052,0.000100004,0.0,0.0,2000.0,11778.0,2408.0,0.9840701933725189,19681480.51806036,0.85,0.98,2.4274533095834263,0.00024274533095834265,,39,BA
G040,3.0245198666839334e-08,4,6e-05,10980.5,3.0,0.8,19.5,0.0,10184974.58974359,1258171.1025641025,142437.61538461538,2354.948717948718,-4807.897435897436,6.0015999999999996e-05,0.0,0.0,2000.0,11766.0,2400.0,0.9812286324786325,3967571.888743033,0.675,0.98,4.097381322650302,0.00024584287935901813,,40,BA
G027,9.002034065447288e-08,4,8e-05,19700.5,3.0,0.8,19.5,0.0,8825073.5,720721.725,38120.35,3286.1,-6614.2,8.00313e-05,0.0,0.0,2000.0,19990.0,3341.0,0.9835677940736307,1777376.0778592434,0.775,0.98,3.087289330583098,0.0002469831464466479,,27,ER
G029,9.002034065447288e-08,4,0.0001,29380.5,3.0,0.8,19.5,0.0,10956632.743589744,889385.6153846154,47049.153846153844,3352.4871794871797,-6624.974358974359,0.000100017,0.0,0.0,2000.0,19990.0,3405.0,0.9845777325953537,2221720.097324054,0.825,0.98,2.642140726530581,0.00026421407265305813,,29,ER
G039,4.350620264355322e-08,4,8e-05,20300.5,3.0,0.8,19.5,0.0,14221155.75,1213266.75,138024.15,2365.4,-4702.8,8.00259e-05,0.0,0.0,2000.0,11778.0,2408.0,0.9823089700996677,3677636.527161006,0.75,0.98,3.321928094887362,0.000265754247590989,,39,BA
G039,3.4141926296659515e-09,4,8e-05,21980.5,3.0,0.8,19.5,0.0,7310757.775,6482001.75,722951.075,2365.9,-4703.8,8.00034e-05,0.0,0.0,2000.0,11778.0,2408.0,0.9825166112956811,46863202.33069409,0.75,0.98,3.321928094887362,0.000265754247590989,,39,BA
G041,1.4617293520857793e-08,4,6e-05,11500.5,3.0,0.8,19.5,0.0,9514272.076923076,2431398.6923076925,274880.8461538461,2360.6666666666665,-4738.333333333333,6.00123e-05,0.0,0.0,2000.0,11785.0,2405.0,0.9815661815661816,8209454.08455874,0.625,0.98,4.695180299575582,0.0002817108179745349,,41,BA
G039,7.0644359863032585e-09,8,8e-05,26300.5,3.0,0.8,19.5,0.0,5278287.775,2573877.8,293086.675,2363.65,-4699.3,8.00067e-05,0.0,0.0,2000.0,11778.0,2408.0,0.9815822259136212,22648658.762031794,0.725,0.98,3.567177857512734,0.0002853742286010188,,39,BA
G041,3.0245198666839334e-08,4,0.0001,30220.5,3.0,0.8,19.5,0.0,17147198.487179488,2116494.128205128,239882.89743589744,2365.2051282051284,-4747.410256410257,0.000100006,0.0,0.0,2000.0,11785.0,2405.0,0.9834532757609682,6612619.8145717215,0.8,0.98,2.8613531161467853,0.00028613531161467853,,41,BA
G040,7.0644359863032585e-09,8,6e-05,16740.5,3.0,0.8,19.5,0.0,3877479.225,1897681.575,214716.225,2353.875,-4805.75,6.00015e-05,0.0,0.0,2000.0,11766.0,2400.0,0.98078125,16986494.071523845,0.6,0.98,5.02588318946412,0.0003015529913678472,,40,BA
G039,1.4617293520857793e-08,8,0.0001,35420.5,3.0,0.8,19.5,0.0,7853443.512820513,1959004.6666666667,224886.1794871795,2367.923076923077,-4707.846153846154,0.000100011,0.0,0.0,2000.0,11778.0,2408.0,0.9833567595195501,13682423.474264566,0.775,0.98,3.087289330583098,0.0003087289330583098,,39,BA
G029,1.2948974895804388e-07,4,0.0001,29140.5,3.0,0.8,19.5,0.0,11138115.0,629868.275,33305.5,3345.575,-6611.15,0.00010009699999999999,0.0,0.0,2000.0,19990.0,3405.0,0.982547723935389,1544523.8067825912,0.775,0.98,3.087289330583098,0.0003087289330583098,,29,ER
G028,6.258149233243955e-08,8,0.0001,34380.5,3.0,0.8,19.5,0.0,5354273.575,617333.225,32519.225,3246.925,-6597.85,0.00010001899999999999,0.0,0.0,2000.0,19990.0,3298.0,0.9845133414190418,3195833.0258022407,0.775,0.98,3.087289330583098,0.0003087289330583098,,28,ER
G041,1.4617293520857793e-08,8,6e-05,16300.5,3.0,0.8,19.5,0.0,4687668.225,1174722.675,133972.925,2352.725,-4722.45,6.00123e-05,0.0,0.0,2000.0,11785.0,2405.0,0.9782640332640333,8209454.08455874,0.575,0.98,5.381970995295634,0.00032291825971773804,,41,BA
G039,6.258149233243955e-08,4,8e-05,20060.5,3.0,0.8,19.5,0.0,14479144.9,854164.45,97084.85,2361.15,-4694.3,8.00526e-05,0.0,0.0,2000.0,11778.0,2408.0,0.9805440199335548,2556666.420641792,0.675,0.98,4.097381322650302,0.0003277905058120242,,39,BA
