job,iter,tstop,size,graph_class,schedule,tpart,graph,get_averages,burn_in,samples,fixed-temp,scale0,concurrent,flips,cut,ene,anneal,u,m,syncs,surprise_flips,gradient_difference_norm
92,11,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,6940.0,48592.0,-94607.0,1e-05,-94.3125,-0.0216351,4995.0,1837.0,32721.0
93,12,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,6932.0,49548.0,-96519.0,1e-05,-95.8611,-0.0288131,4995.0,1398.0,33980.1
94,13,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,6007.0,49314.0,-96051.0,1e-05,-95.8904,-0.04816,4995.0,1350.0,28034.7
95,14,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
96,15,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,9912.0,49852.0,-97127.0,1e-05,-96.9952,0.0291872,4995.0,1557.0,51210.4
97,16,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,6531.0,50789.0,-99001.0,1e-05,-98.5653,-0.0345782,4995.0,1645.0,31907.3
98,17,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,7336.0,47356.0,-92135.0,1e-05,-92.0185,0.0019154,4995.0,1653.0,33936.3
99,18,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,7442.0,50221.0,-97865.0,1e-05,-97.5711,-0.0142897,4995.0,1421.0,36979.9
100,19,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
101,20,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
102,21,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,7837.0,50040.0,-97503.0,1e-05,-97.2679,0.0151574,4995.0,1737.0,37287.8
103,22,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,13016.0,47833.0,-93089.0,1e-05,-92.9708,0.0284253,4995.0,2256.0,66028.6
104,23,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,3646.0,48670.0,-94763.0,1e-05,-94.6953,0.0477513,4995.0,1138.0,14749.8
105,24,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
106,25,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
107,26,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,5662.0,48879.0,-95181.0,1e-05,-95.0078,0.0542223,4995.0,1390.0,27108.9
108,27,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,8380.0,49611.0,-96645.0,1e-05,-96.4006,0.044418,4995.0,1806.0,41913.6
109,28,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,9198.0,49509.0,-96441.0,1e-05,-96.2522,-0.0281877,4995.0,1667.0,46199.8
110,29,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,11295.0,48496.0,-94415.0,1e-05,-94.217,-0.00931001,4995.0,1604.0,60411.9
111,30,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,9251.0,48238.0,-93899.0,1e-05,-93.7427,-0.00349307,4995.0,1877.0,46458.7
112,31,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,8916.0,48839.0,-95101.0,1e-05,-94.8351,-0.0362656,4995.0,1462.0,46524.5
113,32,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,6324.0,50624.0,-98671.0,1e-05,-98.4774,0.0312168,4995.0,1183.0,33402.0
114,33,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,7901.0,50512.0,-98447.0,1e-05,-98.251,-0.018587,4995.0,1575.0,38043.6
115,34,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,,,,,,,,,
116,35,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,8360.0,49527.0,-96477.0,1e-05,-96.1989,0.00631646,4995.0,1311.0,41666.4
117,36,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,7297.0,49898.0,-97219.0,1e-05,-95.3146,0.0809454,4995.0,1759.0,35865.2
118,37,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,10242.0,48774.0,-94971.0,1e-05,-94.8857,-0.0183771,4995.0,1806.0,48793.0
119,38,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,7588.0,48819.0,-95061.0,1e-05,-94.7664,-0.0318365,4995.0,1456.0,35111.3
120,39,1e-05,250,partitioning_strengths,quad,2e-09,fc_1_inner_5_outer.gset,True,5000,50000,True,1.0,True,10231.0,49217.0,-95857.0,1e-05,-95.6393,-0.00307358,4995.0,1546.0,50815.3
