graph,blocks,Type,tpart,concurrent,index,job,iter,scale1,tstop,scale0,flips,updates,neighbor_updates,cut,ene,anneal,u,m,syncs,surprise_flips,gradient_difference_norm,tstep,nodes,edges,BKS,Ratio,GInd,Inverse Ratio,bits,GS,target,factor,TTT,BTT,solved
G028,8,ER,1.4617293520857793e-08,True,11339.5,11340.5,19.5,0.8,2e-05,3.0,5755957.0,,,2237.4,-4578.8,2e-05,,,1367.0,513655.625,33152350.0,2.2e-11,2000.0,19990.0,3298.0,0.6784111582777441,28.0,0.32158884172225594,2736484.6948529133,0.05,0.98,89.7811349607097,0.0017956226992141941,245684701.7065059,True
G027,4,ER,1.650055480022138e-09,False,7939.5,7940.5,19.5,0.8,2e-05,3.0,552265.55,1757505.025,91899.6,3239.75,-6521.5,2.00005e-05,0.0,0.0,,,,2.2e-11,2000.0,19990.0,3341.0,0.9696947021849744,27.0,0.030305297815025445,24241609.13635664,0.05,0.98,89.7811349607097,0.0017956675897816742,2176439181.536009,True
G041,4,BA,3.4141926296659515e-09,False,7659.5,7660.5,19.5,0.8,2e-05,3.0,1825939.15,1629807.325,180701.35,2331.925,-4680.85,2.00017e-05,0.0,0.0,,,,2.2e-11,2000.0,11785.0,2405.0,0.9696153846153847,41.0,0.030384615384615364,11715800.582673522,0.05,0.98,89.7811349607097,0.001795775327143627,1051857873.2857727,True
G040,8,BA,1.0161837155313268e-08,False,16499.5,16500.5,19.5,0.8,2e-05,3.0,1455488.625,523285.475,58945.425,2324.075,-4746.15,2.00028e-05,0.0,0.0,,,,2.2e-11,2000.0,11766.0,2400.0,0.9683645833333333,40.0,0.03163541666666667,3936296.1036120728,0.05,0.98,89.7811349607097,0.0017958740863920838,353405131.7237112,True
G041,8,BA,7.0644359863032585e-09,False,16779.5,16780.5,19.5,0.8,2e-05,3.0,1327418.525,656501.3,73918.975,2330.1,-4677.2,2.00052e-05,0.0,0.0,,,,2.2e-11,2000.0,11785.0,2405.0,0.9688565488565489,41.0,0.031143451143451118,5662164.690507948,0.05,0.98,89.7811349607097,0.0017960895611159895,508355572.2482591,True
G039,8,BA,1.4617293520857793e-08,False,16219.5,16220.5,19.5,0.8,2e-05,3.0,1604097.05,407781.775,46283.45,2333.275,-4638.55,2.00138e-05,0.0,0.0,,,,2.2e-11,2000.0,11778.0,2408.0,0.9689680232558139,39.0,0.031031976744186052,2736484.6948529133,0.05,0.98,89.7811349607097,0.0017968616788766518,245684701.7065059,True
G039,4,BA,4.350620264355322e-08,False,5899.5,5900.5,19.5,0.8,2e-05,3.0,3638854.6,318246.575,35706.45,2336.075,-4644.15,2.00174e-05,0.0,0.0,,,,2.2e-11,2000.0,11778.0,2408.0,0.9701308139534884,39.0,0.02986918604651162,919409.1317902515,0.05,0.98,89.7811349607097,0.0017971848909625102,82545595.34536949,True
G028,8,ER,3.0245198666839334e-08,False,15659.5,15660.5,19.5,0.8,2e-05,3.0,1096766.925,275886.325,14465.725,3193.675,-6491.35,2.00255e-05,0.0,0.0,,,,2.2e-11,2000.0,19990.0,3298.0,0.9683671922377199,28.0,0.03163280776228017,1322523.9629143444,0.05,0.98,89.7811349607097,0.0017979121181556919,118737702.40318537,True
G040,8,BA,1.4617293520857793e-08,True,11459.5,11460.5,19.5,0.8,2e-05,3.0,8648727.85,,,2008.875,-4115.75,2e-05,,,1367.0,363750.425,16557673.75,2.2e-11,2000.0,11766.0,2400.0,0.8370312500000001,40.0,0.16296875,2736484.6948529133,0.025,0.98,181.89450638245114,0.0036378901276490233,497751532.7934031,True
G029,8,ER,2.373522120906291e-09,False,17379.5,17380.5,19.5,0.8,2e-05,3.0,421931.175,1020825.825,53490.125,3297.225,-6514.45,2.00012e-05,0.0,0.0,,,,2.2e-11,2000.0,19990.0,3405.0,0.9683480176211454,29.0,0.03165198237885462,16852592.039347265,0.025,0.98,181.89450638245114,0.003638108401056682,3065393910.261896,True
G040,8,BA,2.102624423214588e-08,False,16019.5,16020.5,19.5,0.8,2e-05,3.0,1660554.0,297592.675,33446.95,2314.675,-4727.35,2.00014e-05,0.0,0.0,,,,2.2e-11,2000.0,11766.0,2400.0,0.9644479166666666,40.0,0.03555208333333333,1902384.4467118946,0.025,0.98,181.89450638245114,0.0036381447799579583,346033279.8843125,True
G041,8,BA,2.102624423214588e-08,False,16059.5,16060.5,19.5,0.8,2e-05,3.0,1685219.6,302179.35,34005.35,2313.15,-4643.3,2.00014e-05,0.0,0.0,,,,2.2e-11,2000.0,11785.0,2405.0,0.9618087318087319,41.0,0.03819126819126817,1902384.4467118946,0.025,0.98,181.89450638245114,0.0036381447799579583,346033279.8843125,True
G039,4,BA,3.4141926296659515e-09,False,7579.5,7580.5,19.5,0.8,2e-05,3.0,1837921.15,1637067.225,182065.05,2338.625,-4649.25,2.00017e-05,0.0,0.0,,,,2.2e-11,2000.0,11778.0,2408.0,0.9711897840531561,39.0,0.028810215946843864,11715800.582673522,0.025,0.98,181.89450638245114,0.0036381993483098726,2131039763.8606336,True
G040,4,BA,3.4141926296659515e-09,False,7619.5,7620.5,19.5,0.8,2e-05,3.0,1803562.6,1610410.225,178285.05,2326.375,-4750.75,2.00017e-05,0.0,0.0,,,,2.2e-11,2000.0,11766.0,2400.0,0.9693229166666667,40.0,0.030677083333333334,11715800.582673522,0.025,0.98,181.89450638245114,0.0036381993483098726,2131039763.8606336,True
G039,8,BA,1.0161837155313268e-08,False,16459.5,16460.5,19.5,0.8,2e-05,3.0,1487581.7,533461.775,60450.6,2336.875,-4645.75,2.00028e-05,0.0,0.0,,,,2.2e-11,2000.0,11778.0,2408.0,0.9704630398671096,39.0,0.029536960132890366,3936296.1036120728,0.025,0.98,181.89450638245114,0.0036383994322668938,715990636.7416837,True
G040,8,BA,4.911145006735545e-09,False,16979.5,16980.5,19.5,0.8,2e-05,3.0,1120802.175,749501.075,83757.825,2317.275,-4732.55,2.00028e-05,0.0,0.0,,,,2.2e-11,2000.0,11766.0,2400.0,0.9655312500000001,40.0,0.034468750000000006,8144740.166527508,0.025,0.98,181.89450638245114,0.0036383994322668938,1481483492.2038438,True
G041,8,BA,4.911145006735545e-09,False,17019.5,17020.5,19.5,0.8,2e-05,3.0,1135658.975,759023.525,84929.625,2321.825,-4660.65,2.00028e-05,0.0,0.0,,,,2.2e-11,2000.0,11785.0,2405.0,0.9654158004158004,41.0,0.03458419958419957,8144740.166527508,0.025,0.98,181.89450638245114,0.0036383994322668938,1481483492.2038438,True
