,graph,size,snap,tstop,density,nodes,index,job,stepsize,tpart,scale0,scale1,randomize_mapping,iter,size.1,tstop.1,stepsize.1,tpart.1,scale0.1,scale1.1,iter.1,flips,updates,neighbor_updates,cut,ene,anneal,u,m,tstep,edges,BKS,Ratio,problem_memory,memory_area,im_area,brim_power,brim_ene_baseline,remaining_area,max_memory_nodes,sweeps,updates_per_step,steps,loads,latency,step_ops,uops,ops,Time,Time_PL1,Time_PL2,Time_Pipelined,brim_ene_running,load_energy,energy,energy_pipelined,bytes,GS,target,factor,ATT,TPTT,TTT,FTT,OTT,ETT,EPTT,BETT,RETT,SOTT,UOTT,BTT,STT,solved,BTT_SA,OTT_SA,AOTT,TTT_SA,ETT_SA,Time (PL),Energy,Energy (PL)
1974,G038,2000,False,0.001,0.005892446223111556,2000,13063.296296296296,13064.296296296296,0.0,1e-07,2.0,0.5,0.0,13.296296296296296,2000.0,0.001,0.0,1e-07,2.0,0.5,13.296296296296296,473043546.5925926,,,7661.148148148148,-3543.296296296296,0.001,,,2.2e-11,11779.0,7688.0,0.9965073033491348,17669.0,0.058924462231115554,200.0,1.99498672,0.00199498672,0.0,0.0,0.0,,,,,0.0,,,1306.4550637776924,,,0.001,0.00199498672,,0.00199498672,0.00199498672,,0.2222222222222222,0.997,18.32433663872523,0.018324336638725233,0.018324336638725233,0.018324336638725233,8668209192.539171,,0.03655680824706627,0.03655680824706627,0.03655680824706627,0.03655680824706627,0.0,,,0.0,1,73116078524.0967,627363051587.553,609498268645.3383,23.93992239202968,837.8972837210387,1306.4550637776924,22920.416849802004,22920.416849802004
1975,G038,1750,True,0.0001,0.005892446223111556,2000,10184.827586206897,10185.827586206897,50.0,1e-07,2.0,0.5,0.0,14.827586206896552,1750.0,0.0001,50.0,1e-07,2.0,0.5,14.827586206896552,25141357.172413792,8459.620689655172,87741.62068965517,7646.827586206897,-3514.655172413793,0.0001,0.0,0.0,2.2e-11,11779.0,7688.0,0.9946445871757149,17669.0,0.05892446223111556,154.0,1.6726967075,0.00016726967075000003,46.0,4300.0,25.000000000000004,8.459620689655171,1000.0000000000001,187500000.00000003,0.00021400000000000002,175000000.00000003,16919241.379310343,191919241.37931037,504.61104532383547,0.00030283333333333334,0.0002124999999998217,0.000515333333333155,0.0012313860204836474,0.004710000000000001,0.00616297263000089,0.005727111703264649,191929810.34482762,0.06896551724137931,0.997,64.44496154658438,0.006444496154658438,0.03321063685032832,0.04744232734078615,1620233796.2051504,12368228130.739304,0.39717253415305936,0.3690834934898837,0.010779687499393582,0.07935662473907022,11277868270.65227,1090359860.0870345,12368909247.315649,1611.1240386646098,1,73116078524.0967,627363051587.553,609498268645.3383,23.93992239202968,837.8972837210387,720.8510484132137,2109.6556576043,2270.210666422027
1976,G038,1500,True,0.001,0.005892446223111556,2000,9224.827586206897,9225.827586206897,50.0,1e-07,2.0,0.5,0.0,14.827586206896552,1500.0,0.001,50.0,1e-07,2.0,0.5,14.827586206896552,209795227.68965518,76404.3448275862,767581.4137931034,7661.517241379311,-3544.0344827586205,0.001,0.0,0.0,2.2e-11,11779.0,7688.0,0.9965553123542287,17669.0,0.05892446223111556,113.0,1.37124003,0.00137124003,87.0,5900.0,250.00000000000003,7.64043448275862,10000.000000000002,1750000000.0000005,0.0021400000000000004,1500000000.0000002,152808689.6551724,1652808689.6551726,307.0761040045983,0.0028200000000000005,0.0019166666666648835,0.0047366666666648835,0.00981607540649135,0.04396000000000001,0.055930795683548834,0.0518808436087637,1828404344.8275867,0.3448275862068966,0.997,10.89061269093175,0.01089061269093175,0.05158520211269397,0.07796087705890392,2284798569.173875,18000099291.2409,0.6091206332851676,0.5650141738218474,0.014933644073031634,0.10690307539707773,16335919036.397627,1664180254.8432717,19912443561.934067,2722.653172732938,1,73116078524.0967,627363051587.553,609498268645.3383,23.93992239202968,837.8972837210387,464.08507501298703,1375.585127041274,1482.966839669465
1977,G038,1250,True,0.001,0.005892446223111556,2000,7304.5,7305.5,50.0,1.0000000000000001e-07,2.0,0.5,0.0,14.5,1250.0,0.001,50.0,1.0000000000000001e-07,2.0,0.5,14.5,171305913.06666666,73243.26666666666,725071.5666666667,7658.2,-3537.4,0.001,0.0,0.0,2.1999999999999998e-11,11779.0,7688.0,0.9961238293444329,17669.0,0.05892446223111556,79.0,1.0906166874999998,0.0010906166874999998,121.0,7000.0,250.00000000000003,7.324326666666665,10000.000000000002,1625000000.0000005,0.0021400000000000004,1250000000.0000002,146486533.33333334,1396486533.3333335,136.06968242195632,0.0026116666666666667,0.0017083333333315503,0.004319999999998217,0.007596715141093721,0.04082000000000001,0.05051333743165373,0.046831784089997525,1736864900.0000005,0.16666666666666666,0.997,25.258506273026676,0.025258506273026678,0.1091167470994302,0.1759386952766689,4326931479.800962,35273163862.39728,1.275891450388939,1.1829009122142333,0.02754734844268632,0.1918816770457125,31573132841.28335,3700031021.1139317,43870612972.04986,6314.62656825667,1,73116078524.0967,627363051587.553,609498268645.3383,23.93992239202968,837.8972837210387,219.3973246857786,656.7151801711788,708.3410580456873
1978,G038,1000,True,1e-05,0.005892446223111556,2000,4904.5,4905.5,50.0,1.0000000000000001e-07,2.0,0.5,0.0,14.5,1000.0,1e-05,50.0,1.0000000000000001e-07,2.0,0.5,14.5,1717198.7333333334,1424.1,16515.433333333334,7548.0,-3317.0,1e-05,0.0,0.0,2.1999999999999998e-11,11779.0,7688.0,0.9817898022892819,17669.0,0.05892446223111556,50.0,0.8308266799999999,8.3082668e-06,150.0,7700.0,2.5000000000000004,14.240999999999998,100.00000000000001,15000000.000000004,2.140000000000001e-05,10000000.000000002,2848200.0,12848200.000000002,0.0,2.403333333333334e-05,1.4999999999982169e-05,3.903333333331551e-05,5.7533252101976006e-05,0.0003768000000000001,0.0004551769603019761,0.0004209789680759799,17868200.000000004,0.0,0.997,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,73116078524.0967,627363051587.553,609498268645.3383,23.93992239202968,837.8972837210387,0.0,0.0,0.0
1979,G038,500,True,1e-06,0.005892446223111556,2000,104.5,105.5,50.0,1.0000000000000001e-07,2.0,0.5,0.0,14.5,500.0,1e-06,50.0,1.0000000000000001e-07,2.0,0.5,14.5,73449.7,243.5,5654.7,6946.533333333334,-2114.0666666666666,1.00001e-06,0.0,0.0,2.1999999999999998e-11,11779.0,7688.0,0.9035553243149497,17669.0,0.05892446223111556,13.0,0.37374667,3.7375040746670003e-07,187.0,8600.0,0.25,24.35,10.0,1250000.0,2.1400000000000003e-06,500000.0,487000.0,987000.0,0.0,1.9866666666666666e-06,1.474e-06,3.4606666666666668e-06,2.6899793662133333e-06,3.14e-05,3.6256376699546664e-05,3.3735073309313326e-05,1982500.0,0.0,0.997,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,73116078524.0967,627363051587.553,609498268645.3383,23.93992239202968,837.8972837210387,0.0,0.0,0.0
1980,G038,750,True,0.001,0.005892446223111556,2000,3464.5,3465.5,50.0,1.0000000000000001e-07,2.0,0.5,0.0,14.5,750.0,0.001,50.0,1.0000000000000001e-07,2.0,0.5,14.5,98501764.66666667,58923.03333333333,552151.0666666667,7644.133333333333,-3509.266666666667,0.001,0.0,0.0,2.1999999999999998e-11,11779.0,7688.0,0.9942941380506416,17669.0,0.05892446223111556,29.0,0.5918700075000001,0.0005918700075000001,171.0,8300.0,250.00000000000003,5.892303333333333,10000.000000000002,1375000000.0000002,0.0021400000000000004,750000000.0000001,117846066.66666667,867846066.6666667,0.0,0.0021950000000000003,0.0012916666666648836,0.003486666666664884,0.0038997100013866285,0.03454000000000001,0.04042293722280886,0.037653140092815084,1524307583.3333335,0.0,0.997,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,73116078524.0967,627363051587.553,609498268645.3383,23.93992239202968,837.8972837210387,0.0,0.0,0.0
1981,G036,2000,False,0.001,0.0058859429714857425,2000,13364.666666666666,13365.666666666666,0.0,1e-07,2.0,0.5,0.0,14.666666666666666,2000.0,0.001,0.0,1e-07,2.0,0.5,14.666666666666666,473088368.3333333,,,7649.375,-3532.75,0.001,,,2.2e-11,11766.0,7678.0,0.9962718155769732,17649.0,0.058859429714857435,200.0,1.99498672,0.00199498672,0.0,0.0,0.0,,,,,0.0,,,732.1116733154838,,,0.001,0.00199498672,,0.00199498672,0.00199498672,,0.20833333333333334,0.997,19.71266022985046,0.01971266022985046,0.01971266022985046,0.01971266022985046,9325830263.649345,,0.039326495374423814,0.039326495374423814,0.039326495374423814,0.039326495374423814,0.0,,,0.0,1,45618176212.980446,391408224303.9934,380274485641.0911,14.431868666375411,505.11540332313945,732.1116733154838,12844.149943034177,12844.149943034177
1982,G036,1500,True,0.001,0.0058859429714857425,2000,9524.5,9525.5,50.0,1e-07,2.0,0.5,0.0,14.5,1500.0,0.001,50.0,1e-07,2.0,0.5,14.5,209527563.85714287,77033.42857142857,778407.9642857143,7652.75,-3539.5,0.001,0.0,0.0,2.2e-11,11766.0,7678.0,0.9967113831727012,17649.0,0.05885942971485743,113.0,1.3712400300000003,0.00137124003,87.0,5900.0,250.00000000000003,7.7033428571428555,10000.000000000002,1750000000.0000005,0.0021400000000000004,1500000000.0000002,154066857.14285713,1654066857.1428573,244.9579590734986,0.0028200000000000005,0.0019166666666648835,0.0047366666666648835,0.009817225572907054,0.04396000000000001,0.055932198322240397,0.051880843608763695,1829033428.571429,0.42857142857142855,0.997,8.229164160964501,0.008229164160964501,0.038978807575753845,0.058915696068667804,1724236719.227401,13611587700.63919,0.4602752418773395,0.4269359788658424,0.011284159310955888,0.08078756084467092,12343746241.446754,1267841459.1924376,15051416339.60603,2057.2910402411258,1,45618176212.980446,391408224303.9934,380274485641.0911,14.431868666375411,505.11540332313945,370.24910621823454,1097.4203202042954,1183.1174422567549
1983,G036,1750,True,0.001,0.0058859429714857425,2000,11443.923076923076,11444.923076923076,50.0,9.999999999999998e-08,2.0,0.5,0.0,13.923076923076923,1750.0,0.001,50.0,9.999999999999998e-08,2.0,0.5,13.923076923076923,249220213.0,77586.53846153847,787984.0,7653.192307692308,-3540.3846153846152,0.001,0.0,0.0,2.2000000000000005e-11,11766.0,7678.0,0.9967689903219988,17649.0,0.05885942971485743,154.0,1.6726967075000003,0.0016726967075000004,46.0,4300.0,250.00000000000003,7.758653846153845,10000.000000000002,1875000000.0000005,0.0021400000000000004,1750000000.0000005,155173076.92307693,1905173076.9230776,156.7096080493394,0.0030283333333333334,0.0021249999999982173,0.005153333333331551,0.012300460148480002,0.04710000000000002,0.06161391491771078,0.05727111703264649,1915793269.2307699,0.3076923076923077,0.997,12.52341543155914,0.01252341543155914,0.06453733419061244,0.09209306848519201,3121088261.340656,23859273911.32948,0.7716166528792311,0.7172299908292746,0.02094787575902367,0.1540437724387527,21915977005.2285,1943296906.100975,23992274991.56176,3130.8538578897856,1,45618176212.980446,391408224303.9934,380274485641.0911,14.431868666375411,505.11540332313945,223.62046476463635,654.6196241855827,704.2586196641271
1984,G036,1250,True,0.001,0.0058859429714857425,2000,7604.896551724138,7605.896551724138,50.0,1e-07,2.0,0.5,0.0,14.89655172413793,1250.0,0.001,50.0,1e-07,2.0,0.5,14.89655172413793,171024825.13793105,73418.62068965517,731066.8275862068,7647.9655172413795,-3529.9310344827586,0.001,0.0,0.0,2.2e-11,11766.0,7678.0,0.9960882413703281,17649.0,0.05885942971485743,79.0,1.0906166874999998,0.0010906166874999998,121.0,7000.0,250.00000000000003,7.341862068965516,10000.000000000002,1625000000.0000005,0.0021400000000000004,1250000000.0000002,146837241.37931034,1396837241.3793106,124.2834449833281,0.0026116666666666667,0.0017083333333315505,0.004319999999998217,0.007597021131531627,0.04082000000000001,0.050513727872589106,0.046831784089997525,1737127931.0344832,0.2413793103448276,0.997,16.67009555574312,0.01667009555574312,0.07201481280078055,0.11612060374019535,2851000177.453569,23285410289.613728,0.842068670512865,0.7806903158261891,0.01818068439531303,0.12664306820163196,20837619444.678905,2447790844.934821,28958088602.89518,4167.523888935781,1,45618176212.980446,391408224303.9934,380274485641.0911,14.431868666375411,505.11540332313945,200.40139111795327,599.8506072141325,647.0112323458064
1985,G036,1000,True,0.001,0.0058859429714857425,2000,5684.5,5685.5,50.0,1.0000000000000001e-07,2.0,0.5,0.0,14.5,1000.0,0.001,50.0,1.0000000000000001e-07,2.0,0.5,14.5,133595043.03333333,67102.26666666666,653203.1333333333,7642.333333333333,-3518.6666666666665,0.001,0.0,0.0,2.1999999999999998e-11,11766.0,7678.0,0.9953546930624294,17649.0,0.05885942971485743,50.0,0.8308266799999999,0.00083082668,150.0,7700.0,250.00000000000003,6.7102266666666655,10000.000000000002,1500000000.0000005,0.0021400000000000004,1000000000.0000002,134204533.33333333,1134204533.3333335,15.683325454095375,0.002403333333333334,0.001499999999998217,0.003903333333331551,0.005628189862070284,0.03768000000000001,0.04534722542660363,0.04209789680759799,1636204533.3333337,0.03333333333333333,0.997,135.83951053460265,0.13583951053460266,0.5302268894531569,0.9202046280692867,18147485255.497177,154069788654.12744,6.159944906052125,5.718557696880323,0.11285908955028895,0.7645305560594402,135839510534.60269,18230278119.524765,222261222942.49802,33959.87763365066,1,45618176212.980446,391408224303.9934,380274485641.0911,14.431868666375411,505.11540332313945,27.218288912619172,81.99998717957125,88.32916096985397
1986,G036,750,True,0.001,0.0058859429714857425,2000,3763.5714285714284,3764.5714285714284,50.0,1e-07,2.0,0.5,0.0,13.571428571428571,750.0,0.001,50.0,1e-07,2.0,0.5,13.571428571428571,98249643.03571428,58827.28571428572,554411.7142857143,7629.607142857143,-3493.214285714286,0.001,0.0,0.0,2.2e-11,11766.0,7678.0,0.9936972053734231,17649.0,0.05885942971485743,29.0,0.5918700075000001,0.0005918700075000001,171.0,8300.0,250.00000000000003,5.88272857142857,10000.000000000002,1375000000.0000002,0.0021400000000000004,750000000.0000001,117654571.42857143,867654571.4285716,0.0,0.0021950000000000003,0.0012916666666648836,0.0034866666666648846,0.0038995588810026185,0.03454000000000001,0.04042270924900263,0.037653140092815084,1524068214.2857146,0.0,0.997,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,45618176212.980446,391408224303.9934,380274485641.0911,14.431868666375411,505.11540332313945,0.0,0.0,0.0
1987,G036,500,True,0.0001,0.0058859429714857425,2000,884.5,885.5,50.0,1.0000000000000001e-07,2.0,0.5,0.0,14.5,500.0,0.0001,50.0,1.0000000000000001e-07,2.0,0.5,14.5,6652142.6,5905.333333333333,56663.666666666664,7572.7,-3379.4,0.0001,0.0,0.0,2.1999999999999998e-11,11766.0,7678.0,0.9862854910132847,17649.0,0.05885942971485743,13.0,0.37374667,3.7374667e-05,187.0,8600.0,25.000000000000004,5.905333333333332,1000.0000000000001,125000000.00000001,0.00021400000000000002,50000000.00000001,11810666.666666666,61810666.66666667,0.0,0.00019866666666666668,0.000108333333333155,0.0003069999999998217,0.00024142340563762667,0.00314,0.0035758557603042937,0.00334714722768988,142916000.0,0.0,0.997,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,45618176212.980446,391408224303.9934,380274485641.0911,14.431868666375411,505.11540332313945,0.0,0.0,0.0
