tstop,beta0,beta1,mean_gs,std_gs,feasible,epoch_real,sync_frequency,Bandwidth (Gbps)
136.0,1.0,22.0,-21.554483795166014,0.0047620471101253855,0.476,9.171446099331113e-10,1090340595.3319962,203.09176209047365
136.0,1.0,46.0,-39.73874473571777,0.013432378554716644,0.41,9.704551160425975e-10,1030444359.0115564,587.8016072274914
136.0,1.0,28.0,-27.5115104675293,0.0037695909151806753,0.46,1.005568569116357e-09,994462268.1263294,289.42661247167547
136.0,1.0,37.0,-33.49737148284912,0.004277794877998475,0.536,1.0160802935129464e-09,984174190.15445,412.46263829013566
136.0,1.0,22.0,-21.555043506622315,0.00455634832615028,0.504,1.0948658124124457e-09,913353936.7683636,170.12542798525908
136.0,1.0,46.0,-39.73744163513184,0.01507289318833495,0.375,1.1585066493639245e-09,863180198.8784853,492.3882631706747
136.0,1.0,28.0,-27.51152620315552,0.003542274609208055,0.458,1.2004242694533166e-09,833038805.901024,242.446201708233
136.0,1.0,37.0,-33.49720077514648,0.00459884951123963,0.524,1.212972920502105e-09,824420713.0247014,345.5107294592221
136.0,1.0,22.0,-21.5548246383667,0.004538732348009895,0.479,1.3070252326696785e-09,765096170.2992063,142.51026703029987
136.0,1.0,46.0,-39.73692283630371,0.016050533042289275,0.371,1.3829981772815115e-09,723066751.9502078,412.4626382901355
136.0,1.0,28.0,-27.511275672912596,0.003900280513334975,0.432,1.4330384530204868e-09,697817981.0124774,203.09176209047362
136.0,1.0,37.0,-33.49718532562256,0.00503203833359289,0.527,1.4480187395275547e-09,690598797.3099507,289.4266124716754
136.0,1.0,22.0,-21.554949855804445,0.00465225485386322,0.502,1.5602961928924404e-09,640903954.3615264,119.37766417144357
136.0,1.0,46.0,-39.73669548034668,0.015278095798566885,0.354,1.6509909195723107e-09,605696850.3854946,345.51072945922186
136.0,1.0,28.0,-27.51124315261841,0.00370443949941541,0.426,1.7107278318944467e-09,584546519.5317526,170.12542798525902
136.0,1.0,37.0,-33.49701328277588,0.005662550899432925,0.531,1.7286109480127761e-09,578499170.7645999,242.44620170823296
136.0,1.0,22.0,-21.55473051071167,0.004762845183722625,0.493,1.862645149230957e-09,536870912.0,100.0
136.0,1.0,46.0,-39.735027122497556,0.017842245439533094,0.345,1.9709143954680606e-09,507378708.22771883,289.4266124716753
136.0,1.0,28.0,-27.51127223968506,0.004503004462458145,0.463,2.042226926046374e-09,489661548.9914916,142.51026703029976
136.0,1.0,37.0,-33.49653015136719,0.0070731368497944855,0.519,2.0635753723495013e-09,484595820.1475536,203.09176209047357
136.0,1.0,22.0,-21.55478525161743,0.004589484829921225,0.464,2.2235822709546176e-09,449724758.5854716,83.76776400682918
136.0,1.0,46.0,-39.733391189575194,0.020276642171665967,0.325,2.352831568128502e-09,425019798.9290937,242.44620170823285
136.0,1.0,28.0,-27.511100864410402,0.004916910175234035,0.459,2.437962801394438e-09,410178530.7913769,119.37766417144358
136.0,1.0,37.0,-33.49586410522461,0.0075927080819382705,0.505,2.4634480779280056e-09,405935083.0081612,170.1254279852589
136.0,1.0,22.0,-21.554599666595458,0.004686528409365505,0.454,2.654460575995963e-09,376724374.45216024,70.1703828670383
136.0,1.0,46.0,-39.732934379577635,0.021017890190705598,0.264,2.808755367920155e-09,356029582.149223,203.09176209047354
136.0,1.0,28.0,-27.510866165161133,0.005621956428512869,0.405,2.910383045673369e-09,343597383.6800001,100.00000000000004
