graph,blocks,epoch,bandwidth,solver,cut,k,bits
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11606.0,2,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11617.0,2,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11599.0,2,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11567.0,2,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11594.0,2,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11564.0,2,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11560.0,2,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11548.0,2,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11591.0,2,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11602.0,2,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11565.0,2,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11586.0,5,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11591.0,5,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11608.0,5,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11583.0,5,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11614.0,5,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11617.0,5,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11577.0,5,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11593.0,5,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11572.0,5,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11601.0,5,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11579.0,5,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11588.0,5,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11580.0,5,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11591.0,5,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11606.0,5,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11608.0,5,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11591.0,5,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11578.0,5,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11572.0,5,0
/home/matt/Documents/bench/GSET/set/G001,2,0.024034130957818797,1000.0,kuramoto,11586.0,5,0
/home/matt/Documents/bench/GSET/set/G001,4,0.024034130957818797,1000.0,kuramoto,11526.0,1,0
/home/matt/Documents/bench/GSET/set/G001,4,0.024034130957818797,1000.0,kuramoto,11524.0,1,0
/home/matt/Documents/bench/GSET/set/G001,4,0.024034130957818797,1000.0,kuramoto,11576.0,1,0
/home/matt/Documents/bench/GSET/set/G001,4,0.024034130957818797,1000.0,kuramoto,11530.0,1,0
/home/matt/Documents/bench/GSET/set/G001,4,0.024034130957818797,1000.0,kuramoto,11556.0,1,0
/home/matt/Documents/bench/GSET/set/G001,4,0.024034130957818797,1000.0,kuramoto,11553.0,1,0
/home/matt/Documents/bench/GSET/set/G001,4,0.024034130957818797,1000.0,kuramoto,11517.0,1,0
/home/matt/Documents/bench/GSET/set/G001,4,0.024034130957818797,1000.0,kuramoto,11573.0,1,0
/home/matt/Documents/bench/GSET/set/G001,4,0.024034130957818797,1000.0,kuramoto,11573.0,1,0
/home/matt/Documents/bench/GSET/set/G001,4,0.024034130957818797,1000.0,kuramoto,11540.0,1,0
